Exact	Measured
28.2759	26.5356	
32.852	26.8936	
22.97	31.222	
39.7381	42.5217	
47.9862	46.2439	
0	4.24157	
49.3302	56.2166	
45.2116	59.2188	
0	3.88692	
17.7081	11.1536	
20.2704	17.7417	
0	4.19374	
0	2.0197	
39.6056	43.5959	
39.9685	40.0612	
10.1255	10.0935	
23.7762	12.8101	
50.5113	53.638	
46.6741	43.3566	
0	3.4855	
9.68751	6.1004	
40.7287	44.0658	
38.3409	33.324	
38.7435	47.9551	
19.9212	24.2634	
0	6.25717	
48.1048	47.4678	
35.8191	42.0359	
12.8226	15.9165	
51.2371	54.9409	
0	-1.91542	
20.4791	21.8949	
31.9641	42.7367	
0	2.89599	
49.599	34.9625	
47.8867	42.3772	
23.9464	25.6916	
51.4096	48.732	
30.1115	28.4078	
0	1.47804	
46.7087	42.0886	
50.1781	54.9558	
30.877	35.1176	
26.8123	26.3552	
47.3327	41.584	
0	-0.71448	
36.1123	27.5334	
25.2272	22.1665	
46.6932	39.0725	
42.7016	51.5617	
0	4.7493	
38.7726	39.7354	
27.9067	25.4471	
48.4862	45.6106	
13.1877	12.225	
50.4101	45.5922	
35.8278	36.4902	
29.052	41.2652	
13.5911	2.71434	
44.7369	52.1432	
0	-4.48226	
0	1.6643	
15.6713	17.9203	
0	3.36313	
36.6056	32.7574	
39.1449	47.0499	
0	3.65678	
12.5136	5.67785	
44.7354	45.0928	
33.1478	28.5708	
49.1329	47.6299	
39.5895	21.2445	
0	3.41921	
35.2255	40.7388	
2.58714	5.36293	
47.2805	50.9911	
44.0092	60.1367	
33.9384	28.7663	
49.0806	48.9564	
46.4462	42.1838	
38.1147	28.7244	
0.958783	0.325697	
31.353	27.1321	
23.6289	24.9099	
43.2354	39.338	
32.8539	35.7024	
0	3.98576	
22.617	23.0364	
11.1085	11.6802	
41.5183	46.3392	
35.0432	44.0616	
23.118	23.9891	
47.1162	49.9337	
0	0.383938	
13.9033	18.8873	
44.1124	45.413	
24.2214	29.9472	
34.9413	39.6382	
48.7084	40.7961	
23.2373	24.9558	
27.7185	33.8208	
47.6586	48.3138	
12.4571	10.0471	
45.2915	38.111	
35.0164	38.2962	
30.3231	24.5174	
47.2954	48.6159	
51.3408	37.6048	
0	1.16546	
11.6092	7.73574	
34.3055	33.4903	
0	2.68541	
37.1772	50.8535	
0	-2.25422	
34.9227	37.3247	
26.9608	26.6187	
51.4409	45.5341	
24.0667	15.6275	
31.6757	33.0765	
46.3552	35.1431	
36.3236	18.5768	
45.4747	36.4911	
51.3908	51.2705	
47.0764	51.0179	
47.3932	37.6581	
49.1408	50.8096	
0	-0.525875	
51.1297	46.5999	
0	4.57674	
13.2577	12.5484	
37.1939	32.7244	
0	-2.09652	
0	3.4602	
48.544	54.8129	
25.9621	25.6331	
51.3956	57.0697	
15.8131	12.1256	
38.6223	29.2614	
50.837	54.1819	
0	-6.03376	
49.6239	57.4041	
35.5344	40.0235	
51.7603	63.0617	
20.0538	26.8589	
20.1096	13.6244	
11.0332	7.71114	
18.7707	23.0511	
25.9047	36.3302	
33.1877	29.7418	
29.3884	34.5187	
51.6777	47.4773	
26.4155	35.4459	
30.1678	35.3345	
48.5942	51.1375	
48.0429	40.2153	
51.6822	57.1997	
