Exact	Measured
0	1.14685
69.2899	62.344
0	0.570219
69.2899	72.1386
0	-2.57259
69.2899	72.3846
69.2899	66.6052
69.2899	85.8141
69.2899	51.0399
0	1.45986
69.2899	60.1719
69.2899	72.7954
0	-0.00156341
69.2899	81.9423
69.2899	71.4678
69.2899	67.0061
69.2899	64.7023
69.2899	72.7244
0	-0.321405
0	-6.27752
69.2899	72.1178
69.2899	64.0385
69.2899	75.2801
69.2899	74.4672
69.2899	63.4581
69.2899	59.104
0	-3.29748
69.2899	82.7594
0	-0.447586
69.2899	75.8523
0	6.93569
69.2899	60.9561
69.2899	76.3847
69.2899	79.8572
69.2899	77.6196
0	-8.52657
69.2899	59.0594
69.2899	65.7853
69.2899	82.5969
69.2899	65.533
69.2899	72.0336
69.2899	56.8261
0	1.54171
69.2899	71.1199
69.2899	61.7381
69.2899	64.1873
69.2899	61.7012
69.2899	76.3398
69.2899	62.5651
69.2899	65.2762
69.2899	77.7548
69.2899	58.8883
0	2.3471
69.2899	69.9488
69.2899	70.7792
0	4.55578
69.2899	62.9312
69.2899	67.0349
69.2899	57.7564
69.2899	71.5243
69.2899	67.8222
0	3.41862
69.2899	68.0973
69.2899	56.5266
69.2899	80.8742
69.2899	69.7471
69.2899	68.7512
69.2899	69.6681
69.2899	62.4439
69.2899	67.6006
69.2899	70.5955
69.2899	81.4758
69.2899	69.4104
69.2899	73.368
0	6.46301
69.2899	63.8915
69.2899	74.8184
69.2899	69.8271
69.2899	64.7318
0	-4.07176
69.2899	80.9281
69.2899	72.5508
69.2899	73.8984
69.2899	67.8267
0	-1.46655
69.2899	65.6657
69.2899	62.0172
69.2899	73.9988
0	2.19546
69.2899	63.1461
69.2899	67.4643
0	-1.97433
69.2899	67.2485
69.2899	64.5635
69.2899	64.639
69.2899	69.8939
69.2899	81.5643
69.2899	75.0982
69.2899	56.3776
69.2899	76.4575
69.2899	74.4898
0	0.259825
0	6.53409
69.2899	63.3602
69.2899	69.647
69.2899	85.3464
0	2.74244
69.2899	71.086
69.2899	61.8411
69.2899	76.7816
69.2899	72.9897
69.2899	69.5848
69.2899	78.3965
69.2899	75.1325
69.2899	62.9535
0	3.18347
69.2899	67.422
69.2899	82.1681
69.2899	78.6231
69.2899	47.9351
0	5.52011
0	-4.67791
69.2899	78.7095
0	0.790242
69.2899	62.4155
0	3.65844
69.2899	64.8728
69.2899	62.2086
0	2.43865
0	-2.9871
69.2899	66.6756
69.2899	69.4326
69.2899	62.2722
69.2899	53.8932
69.2899	67.6904
69.2899	71.4991
0	-2.22423
69.2899	67.4753
69.2899	72.2547
69.2899	74.243
0	-2.17434
69.2899	60.1914
69.2899	83.4916
69.2899	62.0706
69.2899	69.887
0	2.07205
69.2899	77.4702
69.2899	71.4858
69.2899	76.4393
0	-3.2153
0	4.19583
69.2899	62.6563
69.2899	69.6386
69.2899	79.001
69.2899	65.701
0	1.6254
69.2899	64.0748
69.2899	62.6915
0	1.21334
69.2899	85.0319
69.2899	66.7218
69.2899	67.2833
69.2899	75.9317
69.2899	63.7648
69.2899	69.6075
0	1.28221
69.2899	68.4471
69.2899	58.9426
0	-2.90349
69.2899	67.241
69.2899	67.0656
69.2899	81.0914
69.2899	76.9056
69.2899	56.8162
69.2899	49.6128
69.2899	68.46
69.2899	74.685
0	2.03428
69.2899	76.732
0	4.91215
69.2899	65.3297
69.2899	67.1284
69.2899	59.1187
69.2899	70.1717
69.2899	60.1033
69.2899	63.33
69.2899	70.0974
69.2899	75.1384
69.2899	73.1511
69.2899	59.1334
69.2899	68.0825
69.2899	58.8039
69.2899	75.0758
69.2899	78.8569
69.2899	78.592
0	-0.463507
0	0.0106685
69.2899	73.5973
69.2899	77.8679
0	-4.3888
69.2899	57.3573
0	-1.0077
0	2.693
69.2899	52.2301
0	1.94561
69.2899	65.2585
69.2899	61.2059
69.2899	68.7906
